,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,RH2M,CLOUD_AMT,WS2M,PRECTOTCORR
1/1/2015,5.3498,5.3537,25.22,39.63,2.27,2.42,0
1/2/2015,5.7677,5.7782,24.22,36.42,3.32,3.06,0
1/3/2015,5.3575,5.3906,23.63,32.44,9.74,4.06,0
1/4/2015,5.7641,5.7677,22.81,31.06,2.82,4.1,0
1/5/2015,4.673,4.6848,22.16,34.63,16.26,2.83,0
1/6/2015,3.8078,4.1083,21.74,35.95,32.33,2.44,0
1/7/2015,4.8617,4.9126,21.7,36.6,9.02,2.89,0
1/8/2015,4.9274,5.263,22.3,36.14,25.92,3.13,0
1/9/2015,5.0042,5.0136,22.39,31.18,1.5,4.43,0
1/10/2015,5.6237,5.6563,21.26,28.26,5.48,4.5,0
1/11/2015,5.2759,5.287,20.64,28.54,7.71,3.53,0
1/12/2015,5.5159,5.5248,20.49,30.96,6.57,3.27,0
1/13/2015,5.6462,5.6731,20.83,29.72,14.83,3.17,0
1/14/2015,5.6635,5.6988,22.08,34.76,18.18,2.75,0
1/15/2015,5.963,5.9878,23.14,32.97,6.89,2.63,0
1/16/2015,5.5877,5.6093,23.86,31.94,12.32,2.61,0
1/17/2015,5.5601,5.5798,23.45,35.09,13.69,1.98,0
1/18/2015,5.1276,5.1456,24.61,32.63,20.14,1.79,0
1/19/2015,5.0585,5.0849,25.57,37.48,28.53,1.36,0
1/20/2015,5.2361,5.2778,26.79,48.72,22.51,1.2,0.01
1/21/2015,5.3873,5.407,28.38,43.36,2.43,1.2,0
1/22/2015,5.5243,5.6263,27.38,37.12,9.5,2.24,0
1/23/2015,5.1415,5.5358,26.91,32.6,23.62,2.24,0
1/24/2015,5.5246,5.6167,26.99,34.3,14.2,1.83,0
1/25/2015,5.0167,5.5625,28.44,34.31,55.36,0.78,0
1/26/2015,4.5919,5.393,28.74,39.23,63.37,0.93,0
1/27/2015,5.6011,5.681,28.28,35.03,26.9,2,0
1/28/2015,5.213,5.4816,28.43,40.47,35.52,1.45,0
1/29/2015,5.4617,5.4991,27.71,38.8,10.31,2.29,0
1/30/2015,5.5054,5.5308,28.4,39.49,5.27,1.58,0
1/31/2015,5.3839,5.6395,28.33,41.95,37.34,1.68,0
2/1/2015,4.9447,5.4893,28.65,37.47,50.35,2.14,0
2/2/2015,5.7065,5.7893,29.52,34.37,22.85,2.13,0
2/3/2015,5.579,5.7454,30.13,38.09,50.91,0.97,0
2/4/2015,5.4655,5.7014,29.67,33.3,52.66,1.66,0
2/5/2015,5.5843,5.7487,30.31,41.1,23.51,1.02,0
2/6/2015,5.7929,5.8066,30.52,39.56,14.89,1.06,0
2/7/2015,5.5598,5.8428,29.35,52.28,55.64,0.98,0
2/8/2015,5.5226,5.7684,31.18,36.26,33.94,1.88,0
2/9/2015,5.6273,5.7396,30.74,51.28,43.77,0.87,0
2/10/2015,5.0314,5.8502,30.55,46.04,50.89,1.22,0.08
2/11/2015,5.6959,5.9695,30.24,32.73,39.71,2.23,0
2/12/2015,5.9686,6.0502,28.66,26.7,26.04,2.63,0
2/13/2015,5.3326,5.7674,29,27.4,45.72,1.76,0
2/14/2015,5.4413,5.8104,28.11,46.22,39.81,1.49,0.01
2/15/2015,5.7168,5.8594,30.61,46.97,9.25,1.05,0
2/16/2015,5.1814,5.5906,29.8,58.27,31.1,2.07,0.13
2/17/2015,5.8774,5.9352,30.81,53.4,24.53,1.55,0.13
2/18/2015,4.0802,5.545,29.14,58.4,94.26,1.74,0.73
2/19/2015,4.9474,5.7653,28.78,63.29,81.38,0.9,0.01
2/20/2015,5.2001,5.7797,30.46,53.29,82.44,1.07,0.04
2/21/2015,4.7047,5.4506,31.47,51.99,83.52,1.27,0.07
2/22/2015,5.2334,5.6042,29.88,40.31,76.86,3.12,0.02
2/23/2015,4.031,5.159,30.03,36.43,96.84,2.99,0
2/24/2015,3.9984,5.0378,30.03,36.52,98.67,2.83,0.02
2/25/2015,4.9075,5.6174,30.65,42.54,88.4,1.42,0
2/26/2015,5.7751,6.0259,31.18,42.96,56.59,0.86,0
2/27/2015,5.0887,5.8454,30.15,50.79,66.89,1.36,0
2/28/2015,5.8603,6.0245,30.74,38.21,41.21,1.67,0
3/1/2015,5.9417,6.2287,29.13,25.36,77.42,2.84,0
3/2/2015,5.8896,6.2762,28.08,24.3,76.92,3.09,0
3/3/2015,5.4192,6.1085,29.46,28.59,88.22,2.74,0
3/4/2015,6.0214,6.2026,29.94,26.59,66.96,3.18,0
3/5/2015,5.3587,5.4046,29.73,27.32,62.46,2.61,0
3/6/2015,5.6863,5.8382,30.28,26.3,63.27,2.07,0
3/7/2015,5.4391,5.771,31.27,35.33,81.87,1.09,0.01
3/8/2015,5.7149,5.8778,32.59,34.91,75.19,0.81,0.09
3/9/2015,6.1327,6.3043,31.52,31.28,67.11,0.82,0
3/10/2015,6.2585,6.4769,30.6,43.46,65.15,1.35,0.03
3/11/2015,5.1955,6.2875,31.24,50.06,91.17,1.77,0.01
3/12/2015,6.228,6.6074,31.32,37.66,66.95,2.03,0.75
3/13/2015,5.0146,6.5362,31.28,29.39,92.25,1.23,0.11
3/14/2015,5.083,5.5346,31.21,27.3,67.22,2.44,0
3/15/2015,4.5427,4.7959,31.8,25.95,72.22,1.76,0
3/16/2015,2.5013,4.2977,30.51,51.44,99.02,1.31,0.43
3/17/2015,3.7022,4.4707,29.76,51.62,91.64,1.93,2.06
3/18/2015,5.0071,5.5202,29.31,54.05,86.24,1.35,0.97
3/19/2015,6.0398,6.1817,31.08,47.7,62.44,1.42,0.01
3/20/2015,5.701,6.2074,31.57,55.59,87.12,1.87,0.39
3/21/2015,4.8881,5.8166,29.99,63.55,84.02,2.54,4.53
3/22/2015,5.101,5.9412,29.37,67.19,98.84,1.43,0.58
3/23/2015,6.0914,6.3806,29.28,67.82,67.2,1.95,0.27
3/24/2015,6.5534,6.7498,29.72,65.29,68.18,2.79,1.04
3/25/2015,5.5318,6.6941,28.83,69.43,83.7,2.36,6.96
3/26/2015,5.4158,6.8813,27.79,76.54,85.99,1.78,7.08
3/27/2015,5.7276,6.4942,29.06,60.06,92.64,1.75,0
3/28/2015,5.5543,6.889,29.11,60.21,80.75,1.57,0
3/29/2015,6.9379,7.1719,28.81,63.66,63.2,1.84,0
3/30/2015,5.4163,6.9014,29.59,61.71,85.61,1.61,0
3/31/2015,3.5611,6.485,28.79,60.1,99.76,1.65,0
4/1/2015,3.7109,5.7574,29.6,37.72,98.95,2.04,0.01
4/2/2015,3.8779,5.2202,29.14,37.36,94.07,2.15,0.04
4/3/2015,4.8773,5.6045,29.35,40.77,91.87,1.97,0
4/4/2015,5.2594,5.653,29.34,60.95,81.49,1.55,0
4/5/2015,4.8518,5.598,30.04,60,82.1,1.33,0.9
4/6/2015,5.754,6.4903,29.89,62.68,82.2,1.62,0.17
4/7/2015,6.1862,6.8374,29.52,61.83,81.8,1.68,0.07
4/8/2015,5.6652,6.5957,28.63,67.9,74.26,1.7,0.15
4/9/2015,5.4346,6.7682,30.89,61.2,98.8,2.13,0.03
4/10/2015,4.4258,6.5786,30.15,64.28,95.03,1.45,0.26
4/11/2015,4.7779,5.8229,30.56,58.83,98.58,1.47,0.01
4/12/2015,3.947,5.0791,30.98,40.09,97.07,1.77,0
4/13/2015,5.832,6.0331,30.2,28.02,65.51,1.87,0
4/14/2015,5.7012,5.8025,30.06,24.76,59.16,1.98,0
4/15/2015,5.9035,5.9395,29.93,23.04,53.02,1.81,0
4/16/2015,6.013,6.0655,29.85,23.58,53.94,1.33,0
4/17/2015,6.593,6.6233,30.25,19.43,56.09,2.23,0
4/18/2015,6.545,6.719,30.66,20.47,69.13,1.83,0
4/19/2015,6.81,6.8515,31.19,20.56,54.06,2,0
4/20/2015,6.5486,6.6862,30.06,30.06,57.07,1.42,0
4/21/2015,6.8066,6.8851,32.15,28.44,46.77,1.04,0.02
4/22/2015,6.7344,6.949,31.73,47.23,61.54,1.06,0.13
4/23/2015,6.2218,6.7802,32.68,44.16,90.61,0.96,0.03
4/24/2015,5.599,6.5484,32.35,51.92,89.36,2.12,0.11
4/25/2015,5.6213,6.4181,30.71,58.03,97.53,1.31,0.3
4/26/2015,5.3995,6.3672,31.25,49.34,92.27,1.25,0.02
4/27/2015,6.7426,6.7661,31.05,48.58,54.63,1,0
4/28/2015,7.0152,7.2641,31.21,41.74,60.32,1.07,0.01
4/29/2015,7.165,7.2888,32.67,47.34,61.31,1.18,0.01
4/30/2015,7.176,7.2773,33,46.84,57.93,1.67,0.02
5/1/2015,5.5387,7.1062,33.18,47.99,83.36,1.75,0.14
5/2/2015,5.7168,6.5239,33.2,48.9,84.29,1.68,0.09
5/3/2015,5.6611,6.4524,32.4,52.46,89.99,2.23,0.37
5/4/2015,5.7497,6.6898,32.1,51.52,83.75,1.8,0.62
5/5/2015,2.4346,6.7915,29.35,65.98,99.03,1.61,4.1
5/6/2015,6.667,7.0541,31.14,54.24,70.27,1.16,0
5/7/2015,6.7934,7.086,32.33,50.89,71.01,1.71,0
5/8/2015,6.3142,6.9955,32.43,53.44,65.67,2.59,0.22
5/9/2015,4.7635,6.9787,30.52,58.46,87.8,1.19,1.43
5/10/2015,5.7422,7.0891,31.44,54.77,90.63,1.32,0.2
5/11/2015,6.5604,6.9941,32.3,50.32,71.24,1.63,0.31
5/12/2015,6.2798,7.0514,31.42,57.3,75.59,2.11,2.15
5/13/2015,5.9489,6.995,30.24,62.15,77.07,1.36,1.05
5/14/2015,5.1192,6.7099,28.9,69.97,92.03,0.87,7.58
5/15/2015,4.9344,6.9401,29.32,68.76,96.98,1.36,3.77
5/16/2015,5.4118,6.6295,29.45,64.93,84.89,1.3,0.04
5/17/2015,6.2868,6.7145,31.1,56.67,72.2,1.2,1.81
5/18/2015,5.3822,6.2446,29.62,68.75,97.29,1.75,1.08
5/19/2015,5.0954,6.6425,30.55,63.21,97.09,1.81,0.25
5/20/2015,3.671,6.683,30.11,65.19,97.71,1.56,1.68
5/21/2015,6.012,6.8782,30,66.53,77.07,1.31,1.27
5/22/2015,4.4251,6.8522,30.84,64.41,93.14,0.99,2.25
5/23/2015,3.5758,6.8479,28.18,73.92,98.78,2.07,2.55
5/24/2015,6.635,6.9857,29.31,68.46,57.9,1.28,0.78
5/25/2015,6.5088,7.0596,30.78,62.32,61.6,1.42,0.16
5/26/2015,5.0633,6.8321,30.94,61.98,90.94,1.3,0.4
5/27/2015,5.5603,7.0008,30.64,62.7,97.29,2.05,0.94
5/28/2015,5.3146,6.959,30.5,62.36,79.11,1.32,3.19
5/29/2015,5.4665,6.9497,30.75,61.65,96.64,2.03,0.43
5/30/2015,5.5776,6.7642,30.66,64.3,93.89,1.8,4.53
5/31/2015,4.8878,6.7214,28.95,71.72,91.58,1.76,2.21
6/1/2015,4.973,6.7963,28.65,71.62,85.69,1.67,0.76
6/2/2015,1.399,6.6607,28.26,74.01,97.71,1.71,1.4
6/3/2015,4.5718,6.6682,28,77.75,98.59,1.02,2.84
6/4/2015,6.143,6.6571,28.53,70.94,72.59,0.65,1.46
6/5/2015,6.1075,6.6941,27.77,77.41,61.13,1.09,7.05
6/6/2015,3.3775,6.5945,27.36,78.34,98.91,1.48,2.74
6/7/2015,2.6338,6.383,26.1,82.88,92.91,1.61,4.99
6/8/2015,4.806,6.2292,27.74,73.79,73.88,1.86,1.52
6/9/2015,4.369,6.4721,28.33,72.09,51.09,1.22,1.26
6/10/2015,5.1079,6.277,29.2,71.62,50.89,0.9,1.15
6/11/2015,4.003,6.1889,28.59,72.45,79.37,1.81,0.55
6/12/2015,4.5269,6.2933,28.74,70.95,94.51,1.7,0.41
6/13/2015,5.053,6.4754,27.74,74.45,58.91,1.89,1.32
6/14/2015,5.9904,6.4961,28.89,67.83,32.23,1.27,0.67
6/15/2015,3.7481,6.725,29.19,68.88,88.62,1.18,1.72
6/16/2015,4.2967,6.4529,30.02,67.7,82.22,1.35,2
6/17/2015,5.0035,6.6708,28.81,72.7,89.57,1.96,1.98
6/18/2015,6.3019,6.6386,28.01,73.69,56.78,1.38,1.87
6/19/2015,4.7851,6.4658,27.69,76.22,52.73,1.51,4.92
6/20/2015,4.8269,6.5714,26.45,84.06,73.08,1.31,16.36
6/21/2015,5.1739,6.6679,27.6,76.24,91.49,1.74,4.87
6/22/2015,4.4808,6.6986,27.19,78.78,86.45,1.76,2.18
6/23/2015,5.417,6.8318,28,74.67,43.71,1.63,2.52
6/24/2015,4.0994,6.6204,27.87,76.28,85.02,1.69,1.94
6/25/2015,6.2412,6.6542,27.67,76.11,59.92,1.56,1.99
6/26/2015,4.7842,6.6562,27.65,73.36,88.01,0.99,1.23
6/27/2015,4.7921,6.672,28.23,72.23,62.99,1.12,1.67
6/28/2015,5.508,6.6511,28.28,72.26,56.45,1.2,0.7
6/29/2015,3.6718,6.6768,28.95,69.7,63.31,1.55,1.01
6/30/2015,5.3232,6.5062,27.82,77.36,62.48,1.48,10.23
7/1/2015,3.8765,6.6017,28.25,75.47,67.52,1.49,6.51
7/2/2015,3.1488,6.4176,27.06,83.62,94.05,1.45,26.89
7/3/2015,4.9795,6.5165,26.55,85.05,89.63,1.66,8.35
7/4/2015,4.6358,6.7003,26.83,81.69,90.19,1.11,3.42
7/5/2015,5.5099,6.5309,26.99,80.94,64.04,1.02,1.22
7/6/2015,5.9558,6.8201,27.74,76.7,54.42,1.28,1.4
7/7/2015,6.0454,6.9883,27.75,76.98,62.72,1.2,1.49
7/8/2015,5.2363,6.8484,26.68,83.29,84.72,0.71,1.38
7/9/2015,5.9813,6.7699,27.31,79.16,65.12,0.74,0.94
7/10/2015,5.1917,6.6907,28.03,79.53,78.63,1.31,4.97
7/11/2015,6.0247,6.565,26.9,83.37,67.24,1.35,2.13
7/12/2015,5.4338,6.835,27.14,78.48,82.74,1.32,2.95
7/13/2015,5.5003,6.876,26.79,80.36,49.22,1.36,1.16
7/14/2015,5.4962,6.7778,27.05,79.26,58.07,1.57,1.3
7/15/2015,4.8919,6.6209,26.58,83.48,76.52,1.33,7.88
7/16/2015,4.6068,6.4766,26.23,83.52,93.94,1.6,5.96
7/17/2015,5.4295,6.474,27.33,78.85,63.82,0.96,4.13
7/18/2015,5.1768,6.5107,27.92,77.78,71.11,1.08,2.29
7/19/2015,2.0138,6.4032,26.11,86.89,99.18,1.92,13.37
7/20/2015,3.8081,6.5052,26.38,82.33,99.24,2.32,1.19
7/21/2015,3.8486,6.5976,25.27,82.46,99.21,1.07,0.83
7/22/2015,5.0587,6.7766,26.9,75.7,63.04,0.94,0.18
7/23/2015,3.2868,6.8174,27.26,75.75,96.71,1.37,0.3
7/24/2015,4.699,6.8474,26.36,82.09,80.32,0.74,4.3
7/25/2015,5.0165,6.8635,27.39,77.32,56.13,0.74,3.41
7/26/2015,4.3447,6.8592,26.05,85.07,83.39,1.61,10.77
7/27/2015,4.2775,6.6912,24.77,91.08,95.78,1.66,78.49
7/28/2015,3.4841,6.743,25.19,86.22,95.63,2.03,4.54
7/29/2015,3.7493,6.942,25.44,83.91,78.57,1.7,6.14
7/30/2015,5.0714,6.6374,25.83,83.11,65.46,1.38,0.86
7/31/2015,3.8506,6.8306,25.19,84.52,88.74,1.4,0.58
8/1/2015,4.0183,6.858,25.66,84.53,98.64,1.02,2.98
8/2/2015,4.7676,6.9002,25.5,86.12,96.39,1.33,4.65
8/3/2015,1.7477,6.6938,25.68,85.16,95.42,1.11,3.05
8/4/2015,4.2713,6.7807,25.32,86.6,79.88,1.12,4.12
8/5/2015,3.4654,6.727,26.14,82.8,90.6,1.28,1.59
8/6/2015,5.0532,6.8179,25.74,85.76,87.65,1.31,1.2
8/7/2015,3.5818,6.7694,25.75,83.87,86.04,1.01,2.57
8/8/2015,5.1569,7.013,25.13,85.68,86.79,0.99,2.13
8/9/2015,3.1692,6.827,25.38,85.21,85.86,1.17,4.86
8/10/2015,4.2199,6.7843,25.75,85.07,72.85,1.88,5.05
8/11/2015,3.0737,6.8117,25.72,86.72,96.18,1.62,6.31
8/12/2015,3.8551,6.7524,24.7,92.83,91.9,1.24,6.21
8/13/2015,3.959,6.809,26.53,83.66,68.24,1.01,1.23
8/14/2015,3.4978,6.4034,26.14,86.06,99.38,1,10.08
8/15/2015,4.2931,6.475,26.46,82.29,73.89,1.23,1.27
8/16/2015,4.4453,6.8213,25.83,86.6,85.85,1.07,2.63
8/17/2015,4.2787,6.7382,24.79,91.06,77.44,1.93,3.69
8/18/2015,4.6668,6.815,26.43,80.45,74.36,1.16,0.99
8/19/2015,2.0345,6.749,26.83,81.21,86,0.51,5.3
8/20/2015,4.4954,6.8549,26.31,86.49,76.88,0.99,12.5
8/21/2015,3.0122,6.9041,25.44,89.17,99.67,1.11,2.3
8/22/2015,4.0596,6.7368,26.36,85.47,79.4,0.97,4.73
8/23/2015,3.9898,6.5462,26.64,86.46,96.79,0.89,9.31
8/24/2015,2.8807,6.3442,25.67,88.86,93.53,1.11,3.9
8/25/2015,3.7663,6.7675,24.8,86.25,64.59,1.12,3.1
8/26/2015,5.922,6.7944,26.4,78.39,42.85,0.67,0.94
8/27/2015,2.8891,7.0927,26.37,83.05,90.48,0.78,1.04
8/28/2015,4.0234,6.9194,24.95,90.62,94.9,1.79,15.17
8/29/2015,4.207,6.8822,24.78,88.22,75.61,1.24,15.35
8/30/2015,4.3812,6.8671,26.1,80.07,91.19,0.71,0.35
8/31/2015,2.5246,6.8282,25.11,88.67,98.98,1.42,16.03
9/1/2015,4.6294,6.8813,25.16,87.34,81.4,2,30.09
9/2/2015,4.5782,6.863,25.47,86.21,58.09,1.63,7.75
9/3/2015,4.8233,6.7817,24.38,92.66,88.02,1.79,63.68
9/4/2015,4.9171,6.8011,26.06,85.28,89.67,1.16,2.7
9/5/2015,5.6441,6.905,26.2,87.33,74.68,1.92,3.22
9/6/2015,4.3126,6.7759,26.02,87.16,85.03,1.35,1.48
9/7/2015,2.5582,7.063,25.46,88.74,81.65,1.46,3.66
9/8/2015,4.9378,6.973,25.58,83.53,77.81,0.93,11.41
9/9/2015,4.7515,6.8585,26.06,84,44.32,1.42,3.55
9/10/2015,5.0479,6.661,27.28,80.82,85.72,0.57,7.54
9/11/2015,2.0251,6.7085,26.89,83.51,88.14,0.82,6.39
9/12/2015,5.3654,6.8822,26.57,86.4,72.15,1.71,3.97
9/13/2015,5.6174,6.9917,26.98,84.26,71.84,0.99,6.84
9/14/2015,4.289,6.8837,25.62,88.88,93.96,0.85,10.15
9/15/2015,3.678,6.6384,25.97,85.25,95.01,0.46,17.24
9/16/2015,5.293,6.6314,25.8,87.88,78.8,1,12.88
9/17/2015,3.3362,6.8083,24.21,94.01,81.44,2.77,11.87
9/18/2015,4.789,6.828,25.59,86.67,73.66,1.66,2.66
9/19/2015,3.1994,6.732,26.27,84.42,73.74,1.01,1.49
9/20/2015,5.4298,6.9456,26.43,84.15,84.57,0.82,1.8
9/21/2015,4.3738,6.8102,25.82,86.04,77.4,1.26,1.56
9/22/2015,6.2066,6.9602,26.26,83.19,48.44,0.64,0.95
9/23/2015,5.7372,6.7229,27.44,78.97,58.57,0.74,2.25
9/24/2015,3.6778,6.7529,27.61,81.53,91.94,0.68,5.99
9/25/2015,5.9232,6.5926,26.08,86.47,60.23,2.01,2.09
9/26/2015,4.2084,6.8498,26.24,83.77,51.22,0.92,1.43
9/27/2015,6.108,6.7274,26.65,84.48,20.18,0.79,1.22
9/28/2015,4.9241,6.5172,27.42,82.64,96.87,1.13,7.49
9/29/2015,5.4674,6.7918,26.44,86.47,60.43,1.72,5.42
9/30/2015,4.8391,6.583,26.84,84.13,78.88,1.38,1.84
10/1/2015,3.9355,6.523,27.27,82.7,80.22,0.73,3.41
10/2/2015,3.9454,6.3929,27.24,84.29,63.3,0.84,7.28
10/3/2015,5.85,6.6701,26.14,88.17,62.76,0.8,3.05
10/4/2015,4.4969,6.7546,25.55,86.06,82.01,0.99,1.3
10/5/2015,5.8721,6.5923,27.23,80.38,73.62,0.82,2.07
10/6/2015,4.9476,6.4757,26.69,85.36,95.06,0.77,4.04
10/7/2015,4.4213,6.5047,26.09,85.12,90.9,1,1.98
10/8/2015,3.9442,6.5378,25.82,85.12,93.18,0.84,1.47
10/9/2015,4.9822,6.4255,26.3,82.35,83.18,1.29,0.82
10/10/2015,6.0672,6.702,27.22,77.74,75,0.67,1.43
10/11/2015,5.9981,6.642,27.86,78.37,76.66,0.65,4.5
10/12/2015,6.0526,6.7447,26.61,85.42,51.02,0.79,0.53
10/13/2015,6.6348,6.7514,27.87,80.1,38.84,0.64,0.45
10/14/2015,5.087,6.6168,27.47,82.6,82.47,1.15,1.7
10/15/2015,5.3717,6.5107,27.56,82.42,90.81,0.74,0.57
10/16/2015,6.0264,6.3214,27.62,81.8,46.15,0.87,0.33
10/17/2015,5.8841,6.6982,27.89,78.91,59.38,1.02,0.47
10/18/2015,5.119,6.3346,27.54,81.49,64.42,0.85,0.73
10/19/2015,5.6825,6.259,27.92,79.44,60.72,1.06,1.16
10/20/2015,6.1968,6.5093,28.26,78.23,68.86,0.81,2.68
10/21/2015,5.5296,6.2755,28.05,79.37,80.93,1.29,0.39
10/22/2015,5.3299,6.5256,28.61,74.84,83.65,0.78,0.2
10/23/2015,5.6873,6.4543,27.85,78.06,30.05,0.92,1.92
10/24/2015,5.8433,6.4502,28.08,75.48,35.22,0.9,0.6
10/25/2015,5.2248,6.1032,27.36,79.88,36.61,1.15,2.47
10/26/2015,4.5326,6.0982,27.55,77.56,63.73,0.71,0.46
10/27/2015,4.6212,5.8649,26.75,80.54,89.65,0.78,0.58
10/28/2015,3.7582,5.856,26.28,82.31,96.64,0.57,0.93
10/29/2015,3.5256,5.6772,25.37,86.5,90.13,1.25,7.59
10/30/2015,4.9855,5.7847,26.7,76.14,57.68,0.81,0.35
10/31/2015,5.7763,5.8222,27.91,69.71,48.13,0.99,0.59
11/1/2015,5.7682,6.055,27.88,72.34,61,0.9,2.86
11/2/2015,3.7603,6.005,27.33,76.61,77.88,1.26,0.25
11/3/2015,6.335,6.3854,27.17,69.51,4.93,1.38,0.02
11/4/2015,6.425,6.4589,26.03,65.05,6.86,1.69,0
11/5/2015,5.0275,5.8274,25.61,59.25,64.28,1.44,0.08
11/6/2015,5.7583,5.8483,26.7,65.28,28.8,1.37,0.24
11/7/2015,5.6765,6.0204,27.15,59.96,24.49,1.26,0
11/8/2015,5.6047,5.898,27.07,62.66,22.91,1.39,0.02
11/9/2015,5.9102,5.9446,25.8,64.22,6.34,1.96,0
11/10/2015,5.903,6.1267,26.25,64.84,33.2,2.46,0
11/11/2015,5.9573,6.09,26.57,62.25,16.17,2.75,0
11/12/2015,6.0847,6.1082,24.74,59.7,2.04,3.33,0
11/13/2015,6.1382,6.1978,24.81,57.27,0.66,2.86,0
11/14/2015,6.0658,6.2786,24.89,55.17,28.73,2.37,0
11/15/2015,5.844,6.0482,25.71,48.69,11.39,2.09,0
11/16/2015,6.1236,6.1572,25.98,50.39,8.59,2.66,0
11/17/2015,6.2165,6.2426,25.69,51.52,5.46,2.6,0
11/18/2015,6.2753,6.325,25.96,55.06,6.91,2.98,0
11/19/2015,5.5841,5.8644,26.99,57.67,33.91,2.37,0
11/20/2015,5.5306,5.6722,26.39,56.11,27.03,2.92,0
11/21/2015,5.6587,5.6926,24.18,63.48,18.63,2.45,0
11/22/2015,5.5769,5.6458,26.47,54.42,32.31,2.08,0
11/23/2015,5.4746,5.7715,27.47,51.1,43.05,2.13,0
11/24/2015,5.8027,5.9388,27.45,52.55,20.82,2.66,0
11/25/2015,5.9746,5.9906,27.65,48.9,4.61,2.35,0
11/26/2015,6.0917,6.1022,26.73,51.83,0.91,1.71,0
11/27/2015,5.9844,6.0353,27.35,46.68,6.93,1.66,0
11/28/2015,5.9666,6.0806,27.93,48.7,6.18,2.01,0
11/29/2015,5.8838,6.0156,27.2,39.66,6.56,2.27,0
11/30/2015,6.0533,6.0715,25.62,41.77,1.78,2.8,0
12/1/2015,5.923,5.9448,25.68,49.21,1.57,3.16,0
12/2/2015,4.4722,4.4861,24.13,52.87,7.63,3.4,0
12/3/2015,3.7452,3.8378,24.19,54.09,28.32,3.49,0
12/4/2015,4.2389,4.4688,23.14,51.11,33.99,3.62,0
12/5/2015,4.5989,4.7544,23.59,48.53,35.82,3.15,0
12/6/2015,4.6668,4.9632,23.02,50.81,22.75,3.29,0
12/7/2015,5.4674,5.4864,23.34,50.24,13.22,3.48,0
12/8/2015,5.5277,5.6045,24.11,49.26,14.1,3.34,0
12/9/2015,5.2716,5.2855,24.41,48.54,1.76,3.15,0
12/10/2015,5.2471,5.2949,23.91,46.31,4.33,3.54,0
12/11/2015,5.5022,5.5224,23.38,45.22,3.29,3.63,0
12/12/2015,5.5241,5.5464,22.31,45.35,4.51,3.62,0
12/13/2015,5.2728,5.3122,22.16,47.42,6.73,2.86,0
12/14/2015,5.4509,5.471,22.95,42.87,8.9,3.22,0
12/15/2015,5.491,5.5094,21.65,44.08,6.94,3.92,0
12/16/2015,5.8171,5.8498,21.01,40.87,7.78,3.72,0
12/17/2015,6.0554,6.1193,21.57,38.37,11.97,3.61,0
12/18/2015,5.7396,5.7686,21.84,42.8,3.77,3.37,0
12/19/2015,5.4235,5.4598,22.13,42.81,9.65,3.44,0
12/20/2015,5.6892,5.7106,22.68,43.59,9.21,3.32,0
12/21/2015,5.5524,5.6249,23.04,43.93,19.12,3.72,0
12/22/2015,5.3863,5.6227,22.96,41.02,16.87,4.02,0
12/23/2015,5.4552,5.5109,22.57,43.79,15.17,3.95,0
12/24/2015,5.1218,5.1698,22.3,41.56,14.82,3.65,0
12/25/2015,4.9298,4.9694,22.95,41.89,18.52,4.12,0
12/26/2015,5.089,5.1182,22.63,44.19,3.91,3.65,0
12/27/2015,4.8384,4.8439,22.78,45.17,6.32,3.47,0
12/28/2015,5.2706,5.2795,22.95,45.41,3.92,3.19,0
12/29/2015,5.5891,5.6018,23.75,38.46,1.55,3.7,0
12/30/2015,5.929,5.9438,23.29,36.13,4.66,3.07,0
12/31/2015,5.5546,5.5718,22.68,38.68,13.26,2.99,0
1/1/2016,5.2954,5.3333,22.32,38.38,16.75,3.61,0
1/2/2016,5.9182,5.9774,22.73,37.43,6.98,3.96,0
1/3/2016,4.7323,5.4986,23.13,39.17,46.61,3.33,0
1/4/2016,4.9166,5.3122,24.2,40.52,32.52,3.84,0
1/5/2016,4.2012,5.359,24.81,45.89,74.13,2.69,0
1/6/2016,4.7664,4.8814,25.89,47.11,23.59,2.26,0
1/7/2016,5.5202,5.5282,27.4,39.75,1.15,3.79,0
1/8/2016,5.0558,5.4782,26.01,40.11,42.39,2.37,0
1/9/2016,5.225,5.3808,25.85,40.75,23.15,2.01,0
1/10/2016,5.2224,5.2781,25.92,35.27,7.73,2.5,0
1/11/2016,5.8874,5.9026,25.2,36.15,4.4,2.85,0
1/12/2016,5.898,5.9158,24.82,31.76,6.43,3.21,0
1/13/2016,5.7552,5.7778,24.48,35.72,13.39,2.92,0
1/14/2016,5.3388,5.3573,24.54,35.13,15.33,2.86,0
1/15/2016,5.4734,5.4814,25.23,33.04,2.59,2.92,0
1/16/2016,5.466,5.4698,25.8,35.23,2.23,2.36,0
1/17/2016,5.0282,5.201,26.41,35.37,26.06,2.16,0
1/18/2016,5.1494,5.2075,27.12,36.68,18.01,2.92,0
1/19/2016,5.345,5.4602,26.59,33.12,32.97,3.34,0
1/20/2016,5.375,5.4744,25.8,34,14.03,3.31,0
1/21/2016,5.7185,5.7427,24.79,30.41,14.12,2.97,0
1/22/2016,5.435,5.5142,24.84,28,12.45,2.94,0
1/23/2016,5.28,5.591,25.04,24.9,33.51,3.36,0
1/24/2016,5.5601,5.6395,24.49,23.41,10.16,4.02,0
